0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,29.85,29.85
1.0,0.0,1.0,1.0,11.45408633465646,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,26.01691346388067,8187.661385535395
0.0,0.999999999993573,1.0,1.0,2.430416909138867,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,48.32392017049323,263.28400888263985
0.0,0.0,0.0,0.0,63.73278883069679,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,75.86483636325102,801.6917908955243
0.0,0.0,0.0,0.0,6.306224300995272,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,80.26321743113995,7684.032076627781
0.0,0.0,1.0,1.0,6.369079607759092,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,63.85463714201689,885.9208415647497
1.0,0.0,0.0,1.0,3.2784192976597497,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,23.121485452632225,5438.336441876259
1.0,0.0,1.0,0.0,68.21930306017948,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,97.7166884934777,5574.921422912069
0.0,0.0,1.0,0.0,20.372308255853003,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,25.510568565111377,301.8746220126201
1.0,0.0,1.0,0.0,44.366942493282075,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,89.43574160514997,3816.025214800028
1.0,0.0,0.0,0.0,18.515892608211622,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,24.67473269124134,2551.9366766033077
0.0,0.9999999999919919,1.0,0.0,47.14389289842662,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,75.89451608197706,2749.806249933064
0.0,0.0,1.0,1.0,40.38320780548898,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,62.094403975190794,92.91763538117806
0.0,0.0,0.0,0.0,22.015425096486037,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,89.56337231185692,1243.2260098869795
0.0,0.0,0.0,0.0,33.546023109770545,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,87.31779983832288,6721.856362050579
1.0,0.0,1.0,0.0,24.90285206115496,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,24.846259123722866,5457.044400684355
1.0,0.0,0.0,1.0,66.97664184927972,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,112.48423618197928,684.0931727356357
1.0,0.9999999999880594,1.0,1.0,6.009273733587293,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,102.66335061870035,6310.366426254974
1.0,0.9999999999924488,0.0,0.0,6.204533554479413,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,63.56582733378572,24.34208479531216
0.0,0.9999999999935044,0.0,1.0,20.996342697154226,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,67.10676056669514,1505.5194709330035
0.0,0.9999999999997558,1.0,0.0,37.20354090658684,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,29.91997936793596,917.4647866743057
1.0,0.0,1.0,0.0,46.95899236463915,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,93.91142776464493,2000.3784831057687
1.0,0.0,0.0,0.0,22.609409977715956,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,20.922340460254286,738.2748362796183
0.0,0.0,0.0,1.0,67.2245834721915,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,25.286084274234135,679.0409198891921
0.0,0.9999999999850824,0.0,0.0,6.443656169961875,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,101.23067069781168,699.3854382773586
0.0,0.0,1.0,1.0,4.702027842212589,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49.666283833965856,646.459846985476
0.0,0.0,1.0,0.0,22.29807900501807,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,21.004780893340012,143.73956570621124
0.0,0.0,1.0,1.0,10.640770320013168,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,107.26158680775136,4989.732511499526
